,filename,bound,compressor,ssim,psnr,cBW,dBW,CR,normalize_time,diff_time,comp_time,encoding_time,de_comp_time,total_time,diff,thread,uncompressed_size_bytes,compressed_size_bytes,decompressed_size_bytes
858,imgs/*.png,0.0024787521766663585,zfp,0.002077304885092445,81.21873104039923,36.868109539179464,46.512886128938284,0.4282179917685338,0.0004379749298095703,7.152557373046875e-07,0.019179582595825195,0.019618988037109375,0.015550851821899414,0.03517031669616699,base,1,3905280,1689128,3905280
859,imgs/*.png,0.0024787521766663585,zfp,0.002029958966070112,81.62788240046459,37.10216159739272,46.70468269519237,0.43391098605959844,0.0004372596740722656,4.76837158203125e-07,0.019313335418701172,0.019751787185668945,0.01569080352783203,0.03544330596923828,base,1,3905280,1688904,3905280
860,imgs/*.png,0.0024787521766663585,zfp,0.002019833423844174,81.40951009639275,37.76995584819955,47.27855241441523,0.4362135153179245,0.00043702125549316406,4.76837158203125e-07,0.019213438034057617,0.019651412963867188,0.015699148178100586,0.03535127639770508,base,1,3905280,1701536,3905280
861,imgs/*.png,0.0024787521766663585,zfp,0.00200754030070771,81.60667941770738,37.92785399696525,47.51811604665947,0.43671179199047,0.00044155120849609375,4.76837158203125e-07,0.019197940826416016,0.019640684127807617,0.01567673683166504,0.03531789779663086,base,1,3905280,1705768,3905280
862,imgs/*.png,0.0024787521766663585,zfp,0.0019756495388207635,81.60548438812225,37.99678623655914,48.09521183037421,0.43865627530174894,0.0004210472106933594,4.76837158203125e-07,0.019311904907226562,0.019733905792236328,0.015590429306030273,0.035324811935424805,base,1,3905280,1709368,3905280
863,imgs/*.png,0.0024787521766663585,zfp,0.0017467130945594163,81.5372600089893,40.22991770787562,49.57225795666083,0.4486730307418746,0.0005121231079101562,4.76837158203125e-07,0.018955230712890625,0.01946854591369629,0.015799522399902344,0.035268306732177734,base,1,3905280,1745632,3905280
864,imgs/*.png,0.0024787521766663585,zfp,0.0019404876105441713,81.22613543162711,39.056178919153204,47.7398760923717,0.4414602885655774,0.00043582916259765625,7.152557373046875e-07,0.019034862518310547,0.019472360610961914,0.0159304141998291,0.03540325164794922,base,1,3905280,1722728,3905280
865,imgs/*.png,0.0024787521766663585,zfp,0.001625229306653386,81.55390850809162,39.47711731451223,49.25353732014475,0.4481446827512234,0.0005252361297607422,4.76837158203125e-07,0.019201278686523438,0.019727706909179688,0.015811920166015625,0.03554034233093262,base,1,3905280,1737816,3905280
866,imgs/*.png,0.0024787521766663585,zfp,0.0016604678570712494,81.34382555953556,39.19931598975417,48.879727140915215,0.4435007028135585,0.0004620552062988281,7.152557373046875e-07,0.019176244735717773,0.01963973045349121,0.01575016975402832,0.035390377044677734,base,1,3905280,1735880,3905280
867,imgs/*.png,0.0024787521766663585,zfp,0.0014974423968826,81.51857705217017,40.192299512439384,49.623093718435825,0.4482496315971401,0.0005500316619873047,4.76837158203125e-07,0.01906585693359375,0.01961684226989746,0.015888690948486328,0.035506248474121094,base,1,3905280,1758944,3905280
868,imgs/*.png,0.0024787521766663585,zfp,0.001464528890283182,81.5186707155807,40.4661573449468,49.903458027885826,0.4506543606667362,0.0004284381866455078,7.152557373046875e-07,0.019223690032958984,0.0196535587310791,0.015936851501464844,0.03559136390686035,base,1,3905280,1764776,3905280
869,imgs/*.png,0.0024787521766663585,zfp,0.0013209151771246485,81.49542247397848,41.533382459369776,50.31657164319248,0.4565976100067009,0.0005319118499755859,2.384185791015625e-07,0.01915431022644043,0.019687175750732422,0.0162506103515625,0.035938262939453125,base,1,3905280,1790800,3905280
870,imgs/*.png,0.0024787521766663585,zfp,0.0013290693527210943,81.49236852462714,42.08902106571215,51.51745016711526,0.4577190804372247,0.0004353523254394531,4.76837158203125e-07,0.019079923629760742,0.0195162296295166,0.015944480895996094,0.0354611873626709,base,1,3905280,1794592,3905280
871,imgs/*.png,0.0024787521766663585,zfp,0.0013530165821096795,81.48406597024498,41.717648499439974,51.11560081959486,0.4565330609361938,0.0004253387451171875,4.76837158203125e-07,0.01915740966796875,0.019583702087402344,0.015983104705810547,0.035567283630371094,base,1,3905280,1789544,3905280
872,imgs/*.png,0.0024787521766663585,zfp,0.0015194922333052385,81.51397599193622,40.03725070251905,49.409992735680376,0.44729306823505866,0.0005135536193847656,2.384185791015625e-07,0.019133806228637695,0.01964855194091797,0.015921354293823242,0.035570621490478516,base,1,3905280,1758744,3905280
873,imgs/*.png,0.0024787521766663585,zfp,0.0016317322778406761,81.57554564027717,39.753004074437015,49.61461356211591,0.4500946778660113,0.0005950927734375,4.76837158203125e-07,0.019159793853759766,0.019755840301513672,0.015829086303710938,0.03558540344238281,base,1,3905280,1744864,3905280
874,imgs/*.png,0.0024787521766663585,zfp,0.001638157210869602,81.59865593569398,40.350819812813995,50.317332752138825,0.45274130540315266,0.0005316734313964844,4.76837158203125e-07,0.019066572189331055,0.01959967613220215,0.015717506408691406,0.03531765937805176,base,1,3905280,1746832,3905280
875,imgs/*.png,0.0024787521766663585,zfp,0.0014140537794078165,81.27844838375165,39.254997008339046,49.322770129785305,0.44774209370121165,0.0004582405090332031,4.76837158203125e-07,0.019353866577148438,0.01981329917907715,0.015769004821777344,0.035582780838012695,base,1,3905280,1737096,3905280
876,imgs/*.png,0.0024787521766663585,zfp,0.0014124829628849968,81.61984705723334,39.43523257013782,49.351865382513004,0.44830221671358733,0.0005240440368652344,9.5367431640625e-07,0.01921224594116211,0.019737958908081055,0.015771865844726562,0.03551030158996582,base,1,3905280,1736264,3905280
877,imgs/*.png,0.0024787521766663585,zfp,0.0014136777881371511,81.60693152768148,39.37006572395645,49.31720902883583,0.4476462908039201,0.0004284381866455078,7.152557373046875e-07,0.019321203231811523,0.01975107192993164,0.015767335891723633,0.03551912307739258,base,1,3905280,1737088,3905280
878,imgs/*.png,0.0024787521766663585,zfp,0.0014010809609453397,81.3772052019401,39.32267512979748,48.64162502209414,0.4452370470083303,0.00044536590576171875,4.76837158203125e-07,0.019202470779418945,0.01964879035949707,0.0158843994140625,0.035533905029296875,base,1,3905280,1735352,3905280
879,imgs/*.png,0.0024787521766663585,zfp,0.0013526653612263378,81.5549979135656,39.89314704688902,49.45257959490017,0.4480203110645941,0.0004730224609375,4.76837158203125e-07,0.019183635711669922,0.019657611846923828,0.015857696533203125,0.03551602363586426,base,1,3905280,1750376,3905280
