filename,quality,uncompressed_size_bytes,compressed_size_bytes,psnr,ssim,split,time_to_compress,time_to_decompress,total_time
img_100.jpg,0,1978368,14283,19.912106999536867,0.34537414685809226,Test,0.013512372970581055,0.005921363830566406,0.01943373680114746
img_100.jpg,10,1978368,38584,23.597850480090116,0.6707079471186378,Test,0.0152435302734375,0.00648951530456543,0.02173304557800293
img_100.jpg,20,1978368,64685,25.670118560397892,0.7830686232613341,Test,0.016471385955810547,0.006819248199462891,0.023290634155273438
img_100.jpg,30,1978368,85287,26.908216440348678,0.8300148012267156,Test,0.017473459243774414,0.007367372512817383,0.024840831756591797
img_100.jpg,40,1978368,102021,27.80368758012422,0.8556937504505894,Test,0.018094778060913086,0.007660388946533203,0.02575516700744629
img_100.jpg,50,1978368,117657,28.561728428046823,0.8743987953863191,Test,0.01955270767211914,0.008116006851196289,0.02766871452331543
img_100.jpg,60,1978368,134234,29.30801838466321,0.8896992640125752,Test,0.02022552490234375,0.008388996124267578,0.028614521026611328
img_100.jpg,70,1978368,159398,30.310895487375085,0.9075536364696101,Test,0.021860122680664062,0.009979724884033203,0.031839847564697266
img_100.jpg,80,1978368,200298,31.778660312798102,0.927918087915932,Test,0.022395849227905273,0.009356975555419922,0.031752824783325195
img_100.jpg,90,1978368,292365,34.396502222272055,0.9540586858666696,Test,0.025568246841430664,0.011103391647338867,0.03667163848876953
img_100.jpg,100,1978368,769085,44.197650957141164,0.9952690380053384,Test,0.03721499443054199,0.017214059829711914,0.054429054260253906
img_104.jpg,0,1978368,14788,19.717499425678437,0.3582603518904705,Test,0.013100385665893555,0.0048236846923828125,0.017924070358276367
img_104.jpg,10,1978368,39249,23.35305806139161,0.67115700435013,Test,0.015441656112670898,0.0065765380859375,0.0220181941986084
img_104.jpg,20,1978368,65681,25.416266871833514,0.7829971620207742,Test,0.016408443450927734,0.006954669952392578,0.023363113403320312
img_104.jpg,30,1978368,86635,26.682729706437787,0.8295602793370874,Test,0.018204689025878906,0.00760960578918457,0.025814294815063477
img_104.jpg,40,1978368,103790,27.617682004454895,0.8558876669567125,Test,0.018689632415771484,0.007700443267822266,0.02639007568359375
img_104.jpg,50,1978368,119548,28.400222927151688,0.8747452705499987,Test,0.020378828048706055,0.009242057800292969,0.029620885848999023
img_104.jpg,60,1978368,136423,29.177325865187864,0.890334223799843,Test,0.021048545837402344,0.00881195068359375,0.029860496520996094
img_104.jpg,70,1978368,162162,30.231009361142945,0.9080153721752716,Test,0.02058243751525879,0.008924007415771484,0.029506444931030273
img_104.jpg,80,1978368,203126,31.76533726943768,0.928493467743992,Test,0.02283477783203125,0.009555578231811523,0.03239035606384277
img_104.jpg,90,1978368,295817,34.44227336537831,0.9547327491701679,Test,0.02528858184814453,0.010853290557861328,0.03614187240600586
img_104.jpg,100,1978368,774760,44.08571875737135,0.9952986387319509,Test,0.037796974182128906,0.018305301666259766,0.05610227584838867
img_106.jpg,0,1978368,14811,19.710049772199778,0.36444274873786636,Test,0.013214349746704102,0.005017995834350586,0.018232345581054688
img_106.jpg,10,1978368,39085,23.364962848546654,0.6715084632581653,Test,0.014820337295532227,0.006096363067626953,0.02091670036315918
img_106.jpg,20,1978368,65392,25.414205550777133,0.7817917665806279,Test,0.01674056053161621,0.00703120231628418,0.02377176284790039
img_106.jpg,30,1978368,86171,26.682613557689315,0.8287568249930698,Test,0.01777195930480957,0.00741887092590332,0.02519083023071289
img_106.jpg,40,1978368,103333,27.613086028546498,0.8550333315598043,Test,0.01825571060180664,0.007755279541015625,0.026010990142822266
img_106.jpg,50,1978368,119191,28.40527293718806,0.8737672132695625,Test,0.02038431167602539,0.009415149688720703,0.029799461364746094
img_106.jpg,60,1978368,136244,29.195002632969583,0.8895477630279217,Test,0.01974797248840332,0.008569002151489258,0.028316974639892578
img_106.jpg,70,1978368,161499,30.25166051931037,0.907375272547163,Test,0.020971059799194336,0.008908987045288086,0.029880046844482422
img_106.jpg,80,1978368,202575,31.774346180292387,0.9278447534102403,Test,0.02210545539855957,0.00957179069519043,0.03167724609375
img_106.jpg,90,1978368,295038,34.44822055138152,0.9543167425858318,Test,0.025494098663330078,0.011053085327148438,0.036547183990478516
img_106.jpg,100,1978368,773671,44.03423030533283,0.9951788221150739,Test,0.035967350006103516,0.016795635223388672,0.05276298522949219
img_108.jpg,0,1978368,13844,20.153567970522023,0.33575190078676415,Test,0.013167619705200195,0.005643367767333984,0.01881098747253418
img_108.jpg,10,1978368,37194,23.621593810177274,0.6526438870911322,Test,0.015004634857177734,0.006290435791015625,0.02129507064819336
img_108.jpg,20,1978368,63425,25.62760555822111,0.7711289634082913,Test,0.017119169235229492,0.007292747497558594,0.024411916732788086
img_108.jpg,30,1978368,84083,26.841796168529115,0.8203483605743065,Test,0.018286466598510742,0.007758140563964844,0.026044607162475586
img_108.jpg,40,1978368,100980,27.734333125760845,0.8479757113740126,Test,0.01872849464416504,0.007794857025146484,0.026523351669311523
img_108.jpg,50,1978368,116726,28.488221984411087,0.8678073708222124,Test,0.019591093063354492,0.008249998092651367,0.02784109115600586
img_108.jpg,60,1978368,133801,29.24950608334536,0.8844263295514644,Test,0.02023768424987793,0.008399248123168945,0.028636932373046875
img_108.jpg,70,1978368,159358,30.284783131773693,0.9036507107517645,Test,0.02066636085510254,0.008723974227905273,0.029390335083007812
img_108.jpg,80,1978368,200987,31.805176098092662,0.9261581937472642,Test,0.02339458465576172,0.009999275207519531,0.03339385986328125
