,filename,compressor,cBW,dBW,CR,normalize_time,diff_time,comp_time,encoding_time,de_comp_time,total_time,thread,uncompressed_size_bytes,compressed_size_bytes,decompressed_size_bytes,compression_level,split
0,imgs/*.png,zstd,5076.447101322709,1840.207407045016,0.9999998398727059,0.052808799241718496,1.4681565134148849e-06,0.32116736863788803,0.37397991983514084,1.03167136091935,1.4056535394568193,1,1898489280,1898489584,1898489280,0,Train
1,imgs/*.png,zstd,3214.1523511909636,1556.9141643626624,11.215189643252344,0.05263433958354749,1.1920928955078125e-06,0.5380281021720484,0.5906656164872018,1.2193923874905235,1.8100599113263582,1,1898489280,169278393,1898489280,1,Train
2,imgs/*.png,zstd,3239.3806862874444,1610.5897522322753,11.685388229227508,0.06385204666539242,1.4179631283408718e-06,0.5222100835097464,0.586065505680285,1.1787541038111637,1.7648216548718905,1,1898489280,162466941,1898489280,2,Train
3,imgs/*.png,zstd,1629.094559748717,1548.1019887195591,12.837340243605205,0.06549636941207082,1.4556081671463817e-06,1.0998648091366416,1.1653646920856677,1.2263334675839073,2.391700179953324,1,1898489280,147888055,1898489280,3,Train
4,imgs/*.png,zstd,1027.878906538749,1620.794318078584,13.96984202760455,0.06375859913073088,1.5308982447574014e-06,1.7832349852511757,1.8469970226287842,1.1713326353775828,3.0183318288702714,1,1898489280,135899123,1898489280,4,Train
5,imgs/*.png,zstd,652.0392363781637,743.140972868486,14.484355666952421,0.06340267783717106,1.606188322368421e-06,2.848211978611193,2.911618157436973,2.5546825559515702,5.466302796414024,1,1898489280,131071711,1898489280,5,Train
6,imgs/*.png,zstd,501.82442637548576,820.451207979765,15.027886127764287,0.06403653245223195,1.3928664358038651e-06,3.719134468781321,3.7831743139969674,2.313957565709164,6.097134088215075,1,1898489280,126331093,1898489280,6,Train
7,imgs/*.png,zstd,342.5626772840262,1656.7421612683447,14.943493675525135,0.06293511390686035,1.518349898488898e-06,5.4790815428683635,5.542020207957218,1.145917164651971,6.687939443086323,1,1898489280,127044540,1898489280,7,Train
8,imgs/*.png,zstd,156.8945860337633,1720.5165307521445,16.10409720065525,0.06097127261914705,1.342673050729852e-06,12.039438285325703,12.100412945998343,1.103441464273553,13.2038565811358,1,1898489280,117888588,1898489280,8,Train
9,imgs/*.png,zstd,34.80701242088989,1722.132003630955,19.24803772827303,0.05904379643891987,1.4932532059518915e-06,54.484251712497915,54.543298834248596,1.1024063637382107,55.64570715552882,1,1898489280,98632874,1898489280,9,Train
10,imgs/*.png,blosclz,3790.62107525234,1587.3008535177605,0.9999998398727059,0.05857832808243601,1.5308982447574014e-06,0.44225630007292094,0.5008385808844316,1.196048799313997,1.696889551062333,1,1898489280,1898489584,1898489280,0,Train
11,imgs/*.png,blosclz,3226.1189137189604,1523.6434040788326,5.0408648506525235,0.05677785371479235,1.518349898488898e-06,0.5316933456220125,0.5884746752287212,1.2460194261450517,1.8344962471409847,1,1898489280,376619754,1898489280,1,Train
12,imgs/*.png,blosclz,3169.1372664113387,1551.5143976588377,5.0408648506525235,0.060904728738885174,1.4556081671463817e-06,0.5381474620417545,0.5990555537374396,1.2236362632952238,1.8226940255416066,1,1898489280,376619754,1898489280,2,Train
13,imgs/*.png,blosclz,3207.578990996739,1512.6857083294703,5.0408648506525235,0.05970528251246402,1.4430598208778782e-06,0.5321674346923828,0.5918760801616468,1.2550454265192936,1.8469236273514598,1,1898489280,376619754,1898489280,3,Train
14,imgs/*.png,blosclz,3209.8159022081313,1432.9664809667895,5.030795465576542,0.06098410957737973,1.5434465910259046e-06,0.5304759427120811,0.5914636034714548,1.32486649563438,1.9163320817445453,1,1898489280,377373577,1898489280,4,Train
15,imgs/*.png,blosclz,3206.3819592866816,1317.5432120866806,5.030795465576542,0.060177853232935855,1.4430598208778782e-06,0.5319157901563143,0.5920970439910889,1.4409313201904297,2.033030346820229,1,1898489280,377373577,1898489280,5,Train
16,imgs/*.png,blosclz,3242.6436308251336,1180.8068718868983,5.015397807313817,0.0606507000170256,1.568543283562911e-06,0.5248217331735712,0.5854757710507041,1.6077898301576312,2.1932677469755473,1,1898489280,378532143,1898489280,6,Train
17,imgs/*.png,blosclz,3234.033423753663,1074.7584886115274,5.015397807313817,0.056626671238949426,1.518349898488898e-06,0.5304043543966193,0.5870345266241777,1.7664333895633095,2.3534700745030452,1,1898489280,378532143,1898489280,7,Train
18,imgs/*.png,blosclz,3206.445904367758,1101.6654103698033,5.015397807313817,0.058331351531179326,1.6312850149054276e-06,0.533750245445653,0.5920852359972502,1.7232902677435624,2.3153776495080245,1,1898489280,378532143,1898489280,8,Train
19,imgs/*.png,blosclz,3107.1773278543233,1156.7601960934178,4.89913176521145,0.05899089261105186,1.2297379343133224e-06,0.5520071732370477,0.611001265676398,1.6412124884755988,2.2522157618874,1,1898489280,387515456,1898489280,9,Train
20,imgs/*.png,lz4,3811.1217197049873,1132.8704621410352,0.9999998398727059,0.05999642924258584,1.4179631283408718e-06,0.4381443324841951,0.4981444885856227,1.6758220321253727,2.173968566091437,1,1898489280,1898489584,1898489280,0,Train
21,imgs/*.png,lz4,2412.0124855093945,1014.1134509922066,4.644217627256037,0.06102338590120014,1.5559949372944079e-06,0.7260705671812359,0.7870976171995464,1.8720679408625553,2.6591677791193913,1,1898489280,408785598,1898489280,1,Train
22,imgs/*.png,lz4,2399.2784313696343,1029.7343532952266,4.64440505741651,0.05913179799130088,1.518349898488898e-06,0.732139737982499,0.7912750997041401,1.8436689753281443,2.6349460451226485,1,1898489280,408769101,1898489280,2,Train
