,filename,compressor,cBW,dBW,CR,normalize_time,diff_time,comp_time,encoding_time,de_comp_time,total_time,thread
6008,imgs/*.png,zlib,5.138905080482119,9.824103502565553,0.6477563783008846,0.0004565715789794922,4.76837158203125e-07,0.14619755744934082,0.14665555953979492,0.07671427726745605,0.22337079048156738,1
6009,imgs/*.png,zlib,5.175126933706243,9.86819661249856,0.6516708801780892,0.00045561790466308594,7.152557373046875e-07,0.14548373222351074,0.14594173431396484,0.07653546333312988,0.22247862815856934,1
6010,imgs/*.png,zlib,5.142675137968674,9.72295484532353,0.6518036838338298,0.0004410743713378906,4.76837158203125e-07,0.1445903778076172,0.1450328826904297,0.07671093940734863,0.22174525260925293,1
6011,imgs/*.png,zlib,5.103648148682169,8.206939572657229,0.6507961554634257,0.00044465065002441406,4.76837158203125e-07,0.14420604705810547,0.1446526050567627,0.08995509147644043,0.23460888862609863,1
6012,imgs/*.png,zlib,5.277723119064768,9.586034650464798,0.6504556495713797,0.000457763671875,7.152557373046875e-07,0.13724327087402344,0.13770294189453125,0.07581424713134766,0.21351838111877441,1
6013,imgs/*.png,zlib,5.26789649510778,10.67607890553152,0.652673808265154,0.0004448890686035156,4.76837158203125e-07,0.1352531909942627,0.13570046424865723,0.06695866584777832,0.20266056060791016,1
6014,imgs/*.png,zlib,5.121310704468355,8.946131143924227,0.6524373697464397,0.00045299530029296875,9.5367431640625e-07,0.14038610458374023,0.14084148406982422,0.08062624931335449,0.22146892547607422,1
6015,imgs/*.png,zlib,5.095687817446896,12.231613466641694,0.6483017365055371,0.00045943260192871094,4.76837158203125e-07,0.14009785652160645,0.14055943489074707,0.05855703353881836,0.19911742210388184,1
6016,imgs/*.png,zlib,5.1485672316348765,10.440791997927267,0.6496701065504451,0.0004506111145019531,4.76837158203125e-07,0.13950490951538086,0.13995718955993652,0.0690157413482666,0.20897436141967773,1
6017,imgs/*.png,zlib,5.120643110254556,13.148469597170207,0.6479866117174321,0.0004496574401855469,4.76837158203125e-07,0.14094805717468262,0.14139962196350098,0.05506777763366699,0.19646859169006348,1
6018,imgs/*.png,zlib,5.125912297776033,10.442338561711656,0.6463551342426836,0.0004527568817138672,9.5367431640625e-07,0.1422872543334961,0.14274239540100098,0.0700690746307373,0.212813138961792,1
6019,imgs/*.png,zlib,5.182708110875203,11.179486264453784,0.6702305115796169,0.00045037269592285156,4.76837158203125e-07,0.14552998542785645,0.1459817886352539,0.06767582893371582,0.21365904808044434,1
6020,imgs/*.png,zlib,5.108056536702902,10.540455572287115,0.6413685414129453,0.0004487037658691406,7.152557373046875e-07,0.1446094512939453,0.14506006240844727,0.0702981948852539,0.21535944938659668,1
6021,imgs/*.png,zlib,5.095471193715683,10.93064480350161,0.6356063332133861,0.0004513263702392578,7.152557373046875e-07,0.1451401710510254,0.14559340476989746,0.0678703784942627,0.21346497535705566,1
6022,imgs/*.png,zlib,5.3320076124167315,11.932579895450317,0.6504337308221955,0.0004429817199707031,2.384185791015625e-07,0.145186185836792,0.1456310749053955,0.06507444381713867,0.2107067108154297,1
6023,imgs/*.png,zlib,5.314594759263167,7.878110869238459,0.6532066487972391,0.00045371055603027344,4.76837158203125e-07,0.1430675983428955,0.1435234546661377,0.09682130813598633,0.24034595489501953,1
6024,imgs/*.png,zlib,5.204769446888629,9.952678377286686,0.6503859251649945,0.00045299530029296875,4.76837158203125e-07,0.14162516593933105,0.14208006858825684,0.07430100440979004,0.21638226509094238,1
6025,imgs/*.png,zlib,5.73941341036161,11.366257729370549,0.6423252663944826,0.00045037269592285156,9.5367431640625e-07,0.12744975090026855,0.12790226936340332,0.06458449363708496,0.1924881935119629,1
6026,imgs/*.png,zlib,5.315606844891794,5.827552511963859,0.6586705738175668,0.0004525184631347656,9.5367431640625e-07,0.1365509033203125,0.13700580596923828,0.1249699592590332,0.2619771957397461,1
6027,imgs/*.png,zlib,5.069742862505355,10.177405252849006,0.6572542674949915,0.0004496574401855469,7.152557373046875e-07,0.1431429386138916,0.14359426498413086,0.07152962684631348,0.21512532234191895,1
6028,imgs/*.png,zlib,5.263494972074578,11.702404200388536,0.6592741470953655,0.0008537769317626953,9.5367431640625e-07,0.1404857635498047,0.1413414478302002,0.06357240676879883,0.20491528511047363,1
6029,imgs/*.png,zlib,5.285306693606816,9.790034737780578,0.6441631382641129,0.00045013427734375,4.76837158203125e-07,0.13972830772399902,0.1401829719543457,0.07568001747131348,0.2158653736114502,1
6030,imgs/*.png,zlib,5.061365019598125,10.502311441007025,0.650368514099135,0.0010516643524169922,4.76837158203125e-07,0.1451866626739502,0.1462399959564209,0.07047724723815918,0.2167186737060547,1
6031,imgs/*.png,zlib,5.042414743745014,9.745137663377621,0.644303891919888,0.0004513263702392578,4.76837158203125e-07,0.14510440826416016,0.14555764198303223,0.07531571388244629,0.22087478637695312,1
6032,imgs/*.png,zlib,5.130014571873297,11.05940309095464,0.6432625859522145,0.00045037269592285156,4.76837158203125e-07,0.14521455764770508,0.14566683769226074,0.06756901741027832,0.21323728561401367,1
6033,imgs/*.png,zlib,5.138970371350377,16.35218765514644,0.6382522282535712,0.00044798851013183594,4.76837158203125e-07,0.14660096168518066,0.1470508575439453,0.046213388442993164,0.19326543807983398,1
6034,imgs/*.png,zlib,5.173637706204548,8.898767190794947,0.6366673284229343,0.00044345855712890625,9.5367431640625e-07,0.14646244049072266,0.14690804481506348,0.08541059494018555,0.23231983184814453,1
6035,imgs/*.png,zlib,5.299449071437666,8.90819963196355,0.6866550255552136,0.0004520416259765625,4.76837158203125e-07,0.14186739921569824,0.14232158660888672,0.08466649055480957,0.2269895076751709,1
6036,imgs/*.png,zlib,5.254783587802548,14.927176563823002,0.6688308563699531,0.0004494190216064453,4.76837158203125e-07,0.14503002166748047,0.14548134803771973,0.05121350288391113,0.19669604301452637,1
6037,imgs/*.png,zlib,5.022888800223018,13.478052916611137,0.6370191590668722,0.00044918060302734375,7.152557373046875e-07,0.1483612060546875,0.14881277084350586,0.05545830726623535,0.20427227020263672,1
6038,imgs/*.png,zlib,5.010560169549318,15.29814216294089,0.6444523082367241,0.00043892860412597656,9.5367431640625e-07,0.15003228187561035,0.15047359466552734,0.04928421974182129,0.19975876808166504,1
