,filename,compressor,cBW,dBW,CR,normalize_time,diff_time,comp_time,encoding_time,de_comp_time,total_time,thread,split
766,imgs/*.png,zstd,0.7620212002941864,8.036452831027534,0.7486915248275756,0.0010488033294677734,9.5367431640625e-07,1.0269029140472412,1.027954339981079,0.09747123718261719,1.125427007675171,1,Train
767,imgs/*.png,zstd,0.7075596846019011,10.381515543972867,0.7544872768209026,0.0010836124420166016,7.152557373046875e-07,1.1014692783355713,1.102555751800537,0.07514548301696777,1.1777024269104004,1,Train
768,imgs/*.png,zstd,0.7200905180646563,10.749780246088815,0.7513785102902055,0.0010514259338378906,4.76837158203125e-07,1.0666110515594482,1.067664384841919,0.07151913642883301,1.1391849517822266,1,Train
769,imgs/*.png,zstd,0.7394269333756541,8.849223830601577,0.7546128914384854,0.0009813308715820312,7.152557373046875e-07,1.0295886993408203,1.0305724143981934,0.08611297607421875,1.116687297821045,1,Train
770,imgs/*.png,zstd,0.7277424841769338,6.906191861179457,0.7786709725094259,0.0010724067687988281,4.76837158203125e-07,1.0472445487976074,1.04831862449646,0.11046695709228516,1.1587867736816406,1,Train
771,imgs/*.png,zstd,0.7268382879229515,6.282862445380308,0.7549138896515489,0.00104522705078125,4.76837158203125e-07,1.0506019592285156,1.0516493320465088,0.12166094779968262,1.1733119487762451,1,Train
772,imgs/*.png,zstd,0.7030874143618351,8.374977551104683,0.7533083638131327,0.0010523796081542969,9.5367431640625e-07,1.0965700149536133,1.0976245403289795,0.09214663505554199,1.1897728443145752,1,Train
773,imgs/*.png,zstd,0.6741582615307218,8.977679504035951,0.7411472969794392,0.0010533332824707031,7.152557373046875e-07,1.153393030166626,1.1544485092163086,0.08669066429138184,1.2411410808563232,1,Train
774,imgs/*.png,zstd,0.6876370549124232,10.910829965792077,0.7543008484051811,0.0010499954223632812,7.152557373046875e-07,1.1271770000457764,1.1282289028167725,0.07110476493835449,1.1993358135223389,1,Train
775,imgs/*.png,zstd,0.6645914271685316,9.301361792384789,0.756959537242104,0.001055002212524414,4.76837158203125e-07,1.1555562019348145,1.1566128730773926,0.0826411247253418,1.2392561435699463,1,Train
776,imgs/*.png,zstd,0.6132323373603151,8.125783642830454,0.7551487143959315,0.001058816909790039,1.1920928955078125e-06,1.250281572341919,1.251343011856079,0.0944356918334961,1.345780611038208,1,Train
777,imgs/*.png,zstd,0.622800991938434,9.702049282876482,0.759390499375255,0.0009989738464355469,1.1920928955078125e-06,1.2451584339141846,1.2461605072021484,0.07999444007873535,1.3261563777923584,1,Train
778,imgs/*.png,zstd,0.6119571522187195,11.775737070925967,0.7481644450196282,0.0010581016540527344,9.5367431640625e-07,1.2742643356323242,1.2753245830535889,0.06627559661865234,1.3416013717651367,1,Train
779,imgs/*.png,zstd,0.571130326700222,11.768853538286198,0.7773281236875953,0.0011217594146728516,9.5367431640625e-07,1.3438053131103516,1.3449294567108154,0.06526803970336914,1.4101994037628174,1,Train
780,imgs/*.png,zstd,0.6377004350649743,9.139230197172113,0.7558299452139212,0.001058816909790039,9.5367431640625e-07,1.2606346607208252,1.2616958618164062,0.08803629875183105,1.349733591079712,1,Train
781,imgs/*.png,zstd,0.657511825382348,8.682715840513998,0.7572614609384443,0.0010476112365722656,7.152557373046875e-07,1.2377386093139648,1.238788366317749,0.09380912780761719,1.33259916305542,1,Train
782,imgs/*.png,zstd,0.6475361734289666,11.551504977945399,0.7525850727311385,0.0010557174682617188,4.76837158203125e-07,1.2507197856903076,1.251777172088623,0.07017016410827637,1.3219492435455322,1,Train
783,imgs/*.png,zstd,0.6538602214138404,10.323698711225104,0.7452973236531,0.001058340072631836,7.152557373046875e-07,1.2332675457000732,1.234328031539917,0.07817721366882324,1.312506914138794,1,Train
784,imgs/*.png,zstd,0.6821180752160438,10.41268048536844,0.7348448500128615,0.001069784164428711,7.152557373046875e-07,1.1799638271331787,1.1810359954833984,0.07736778259277344,1.2584052085876465,1,Train
785,imgs/*.png,zstd,0.6236481109268285,6.000211213702061,0.7768938087187064,0.0010516643524169922,7.152557373046875e-07,1.2375116348266602,1.238565444946289,0.12873363494873047,1.3673007488250732,1,Train
786,imgs/*.png,zstd,0.6834948753397518,9.124312301664853,0.7491160434820184,0.0010530948638916016,4.76837158203125e-07,1.1656808853149414,1.1667358875274658,0.08739924430847168,1.2541372776031494,1,Train
787,imgs/*.png,zstd,0.6658873467216284,9.610362811735955,0.7357306667198016,0.0010559558868408203,7.152557373046875e-07,1.1634058952331543,1.1644642353057861,0.08068394660949707,1.245150089263916,1,Train
788,imgs/*.png,zstd,0.6740589993930477,6.631836096254015,0.7614843147214027,0.0010597705841064453,1.1920928955078125e-06,1.1644127368927002,1.1654751300811768,0.11845874786376953,1.283935546875,1,Train
789,imgs/*.png,zstd,0.6472137511454752,8.532841497393356,0.758799381564216,0.0009922981262207031,4.76837158203125e-07,1.2085039615631104,1.209498405456543,0.09174013137817383,1.3012399673461914,1,Train
790,imgs/*.png,zstd,0.6397103151367013,8.91895066161154,0.7646459660422005,0.0010535717010498047,4.76837158203125e-07,1.2193841934204102,1.2204399108886719,0.08753585815429688,1.3079776763916016,1,Train
791,imgs/*.png,zstd,0.6847141481083795,5.7899381399898795,0.7556310389231952,0.0010569095611572266,4.76837158203125e-07,1.1464533805847168,1.147512435913086,0.13570404052734375,1.2832179069519043,1,Train
792,imgs/*.png,zstd,0.6793150688088919,7.062358989145765,0.762958372328659,0.0010612010955810547,7.152557373046875e-07,1.160602331161499,1.161665678024292,0.11173844337463379,1.2734057903289795,1,Train
793,imgs/*.png,zstd,0.639562722598486,9.253725947102573,0.7760267559597861,0.0010528564453125,9.5367431640625e-07,1.213224172592163,1.2142796516418457,0.0839238166809082,1.2982048988342285,1,Train
794,imgs/*.png,zstd,0.6664636399400774,10.044279916258233,0.7604798021402501,0.0010616779327392578,9.5367431640625e-07,1.1763372421264648,1.177401065826416,0.07812356948852539,1.2555265426635742,1,Train
795,imgs/*.png,zstd,0.6492717293131947,5.34122436538377,0.7623567828964609,0.0010559558868408203,7.152557373046875e-07,1.204230546951294,1.2052888870239258,0.1465132236480713,1.3518035411834717,1,Train
796,imgs/*.png,zstd,0.645555075124427,5.095454663019598,0.7630417368997833,0.0010576248168945312,4.76837158203125e-07,1.2015535831451416,1.202613115310669,0.15236186981201172,1.3549768924713135,1,Train
